ARTS 418-01 (S),ARTS 418-01 (S)  STU Art Studio Senior Seminar,W 1:10pm-3:50pm
ARTS 497-01 (F),ARTS 497-01 (F)  IND Independent Study: Art Studio,TBA
ARTS 99-01 (W),ARTS 99-01 (W)  IND Independent Study: Art Studio,TBA
ASST 117-01 (S),ASST 117-01 (S)  SEM Bombay/Mumbai:Modrn Metropolis,MW 11:00am-12:15pm
ASST 186-01 (F),ASST 186-01 (F)  LEC Japanese Visual Pop Culture,MR 2:35pm-3:50pm
ASST 195-01 (F),ASST 195-01 (F)  LEC Korean,TBA
ASST 196-01 (S),ASST 196-01 (S)  LEC Korean,TBA
ASST 197-01 (F),ASST 197-01 (F)  LEC Hindi,TBA
ASST 213-01 (S),ASST 213-01 (S)  LEC Modern China;1600-Present,TR 11:20am-12:35pm
ASST 217-01 (F),ASST 217-01 (F)  LEC Early Modern Japan,MWF 11:00am-12:15pm
ASST 220-01 (S),ASST 220-01 (S)  LEC Being Korean in Japan,MR 2:35pm-3:50pm
ASST 221-01 (F),ASST 221-01 (F)  LEC Modern South Asia:1750-1950CE,TR 11:20am-12:35pm
ASST 222-01 (S),ASST 222-01 (S)  LEC India & So.Asia: 2000-1700s CE,MW 7:00pm-8:15pm
ASST 232-01 (S),ASST 232-01 (S)  SEM Buddhist Economics,MR 2:35pm-3:50pm
ASST 245-01 (F),ASST 245-01 (F)  LEC Nationalism in East Asia,MR 1:10pm-2:25pm
ASST 246-T1 (F),ASST 246-T1 (F)  TUT India's Identities,TBA
ASST 266-01 (S),ASST 266-01 (S)  SEM Japanese Lit: Confession,MR 2:35pm-3:50pm
ASST 269-T1 (S),ASST 269-T1 (S)  TUT Mindsight:Mindfulness&Medicine,TBA
ASST 272-01 (F),ASST 272-01 (F)  LEC Arts of the Buddhist World,TR 9:55am-11:10am
ASST 274-01 (S),ASST 274-01 (S)  LEC Chinese Calligraphy,W 1:10pm-3:50pm
ASST 314-01 (F),ASST 314-01 (F)  SEM Mughal Power and Art in India,MR 2:35pm-3:50pm
ASST 316-01 (F),ASST 316-01 (F)  SEM Feeling Queer and Asian,TR 11:20am-12:35pm
ASST 342-T1 (S),ASST 342-T1 (S)  TUT Indian Art and Architecture,TBA
ASST 384-01 (F),ASST 384-01 (F)  LEC Topics Asianamerican Studies,TR 11:20am-12:35pm
ASST 493-01 (F),ASST 493-01 (F)  HON Senior Thesis: Asian Studies,TBA
ASST 494-01 (S),ASST 494-01 (S)  HON Senior Thesis: Asian Studies,TBA
ASST 497-01 (F),ASST 497-01 (F)  IND Ind Study: Asian Studies,TBA
ASST 498-01 (S),ASST 498-01 (S)  IND Ind Study: Asian Studies,TBA
ASTR 101-01 (F),ASTR 101-01 (F)  LEC Stars:From Suns to Black Holes,TR 9:55am-11:10am
ASTR 102-01 (S),ASTR 102-01 (S)  LEC Our Solar System and Others,TR 9:55am-11:10am
ASTR 111-01 (F),ASTR 111-01 (F)  LEC Introduction to Astrophysics,TR 11:20am-12:35pm
ASTR 211-01 (S),ASTR 211-01 (S)  LEC Observing and Data Analysis,MR 1:10pm-2:25pm
ASTR 217-01 (S),ASTR 217-01 (S)  LEC Planets and Moons,MWF 10:00am-10:50am
ASTR 31-01 (W),ASTR 31-01 (W)  HON Senior Research: Astronomy,TBA
ASTR 32-01 (W),ASTR 32-01 (W)  HON Senior Research: Astrophysics,TBA
ASTR 404-T1 (S),ASTR 404-T1 (S)  TUT Galaxy Evolution,TBA
ASTR 412-T1 (F),ASTR 412-T1 (F)  TUT Heliophysics,TBA
ASTR 493-01 (F),ASTR 493-01 (F)  HON Senior Research: Astronomy,TBA
ASTR 494-01 (S),ASTR 494-01 (S)  HON Senior Research: Astronomy,TBA
ASTR 495-01 (F),ASTR 495-01 (F)  HON Senior Research: Astrophysics,TBA
ASTR 496-01 (S),ASTR 496-01 (S)  HON Senior Research: Astrophysics,TBA
ASTR 497-01 (F),ASTR 497-01 (F)  IND Independent Study: Astronomy,TBA
ASTR 498-01 (S),ASTR 498-01 (S)  IND Independent Study: Astronomy,TBA
ASTR 499-01 (F),ASTR 499-01 (S)  LEC Physics & Astronomy Colloquium,F 2:30pm-4:00pm
ASTR 99-01 (W),ASTR 99-01 (W)  IND Independent Study: Astronomy,TBA
BIMO 321-01 (S),BIMO 321-01 (F)  LEC Biochem I:Struc&Func Molecules,MWF 10:00am-10:50am
BIMO 322-01 (S),BIMO 322-01 (S)  LEC Biochemistry II: Metabolism,TBA
BIMO 401-01 (S),BIMO 401-01 (S)  SEM Biochem & Molecular Biology,TR 9:55am-11:10am
BIMO 99-01 (W),BIMO 99-01 (W)  IND Indep Study:Biochem&Molec Biol,TBA
BIOL 101-A1 (F),BIOL 101-A1 (F)  LEC The Cell,MWF 10:00am-10:50am
